SUC;SO-·Bus 39/G-G1;SO-·Bus 37/G-G8;SO-·Bus 32/G-G3;SO-·Bus 34/G-G5;SO-·Bus 31/G-G2;SO-·Bus 33/G-G4;SO-·Bus 36/G-G7;SO-·Bus 38/G-G9;SO-·Bus 35/G-G6;SO-·Bus 25/L-Load_Bus_25;SO-·Bus 3/L-Load 3;SO-·Bus 39/L-Load_39;SO-·Bus 26/L-Load_26;SO-·Bus 12/L-Load_12;SO-·Bus 16/L-Load_16;SO-·Bus 7/L-Load_7;SO-·Bus 27/L-Load_27;SO-·Bus 31/L-Load 31;SO-·Bus 4/L-Load_4;SO-·Bus 29/L-Load_29;SO-·Bus 18/L-Load_18;SO-·Bus 24/L-Load_24;SO-·Bus 15/L-Load_15;SO-·Bus 28/L-Load_28;SO-·Bus 23/L-Load_23;SO-·Bus 20/L-Load_20;SO-·Bus 21/L-Load_21;SO-·Bus 8/L-Load_8;SO-·Bus 30/G-G10
SUC;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0
136;999.9982;539.9982;272.73046;507.9982;0;631.9982;545;0;0;115.13217;170.7619;158.8285;77.44595;327.02534;704.88367;131.62156;134.42359;4.81994;320.75222;153.4785;82.02541;144.62061;170.5697;118.66218;137.86777;163.27728;322.92748;4.7314;14.9982
137;0;539.9982;454.82027;507.9982;299.9982;0;-35;829.9982;649.9982;131.66092;210.41959;181.11684;70.89246;238.65223;578.95687;159.16422;184.74003;5.93437;290.37482;174.49959;86.22241;152.58649;203.57928;116.61784;161.5535;164.73719;347.45168;4.39072;284.9982
138;999.9982;539.9982;649.9982;507.9982;299.9982;0;605;207.83374;0;147.81342;163.24555;199.93182;76.87713;337.1329;594.83914;136.50738;154.98694;5.25673;355.78024;159.67919;92.18681;184.70342;182.63579;133.52082;164.60753;153.59112;444.0756;4.6241;-45.0018
139;0;540;0;508;0;632;515;596.69424;650;134.57857;169.42019;224.09571;91.86781;268.73516;721.61257;143.42854;139.1988;4.85963;346.0388;148.30168;76.82465;167.7163;212.10416;134.96604;155.97524;196.56558;322.07147;5.06306;313.14856
140;704.81106;539.9982;649.9982;0;0;0;15;829.9982;649.9982;154.96569;213.36044;201.24423;71.83266;326.20267;650.45124;113.41374;159.17749;6.35644;245.9909;187.03582;75.67761;190.42861;185.75131;118.21098;155.19254;133.4481;360.67019;4.32745;234.9982
141;36.9887;539.9982;649.9982;0;0;0;515;829.9982;649.9982;131.30541;164.1971;191.69493;80.75506;234.80424;630.59156;127.43743;155.24438;4.56727;250.91482;177.30355;90.10596;193.87619;205.80747;116.14351;134.49311;171.06389;383.49841;4.22561;294.9982
142;0;539.9982;638.5075;0;0;631.9982;535;0;649.9982;115.61781;143.68658;211.54696;82.10142;322.91509;492.13874;119.49355;136.65443;4.51614;264.53023;154.70257;90.04351;180.07496;142.34501;96.54831;133.95181;174.51883;336.26076;4.73496;274.9982
143;604.52291;539.9982;0;507.9982;299.9982;631.9982;570;0;0;104.24837;139.87887;145.5503;64.75611;264.17801;498.88579;108.5627;136.0355;5.20526;316.60127;165.99836;67.01078;151.59069;185.73724;127.83374;149.74081;160.18404;286.58235;4.28718;-10.0018
144;999.9982;539.9982;0;507.9982;0;0;550;0;626.10302;111.87687;191.7278;161.33739;82.86034;310.18118;490.97446;136.93039;143.91824;4.66633;245.23125;137.52899;91.7708;169.90626;189.28569;95.68485;104.61583;156.7157;341.65114;3.82748;9.9982
145;740.04876;539.9982;0;0;299.9982;631.9982;505;0;0;105.76644;165.13822;130.85027;55.40828;200.20363;591.83669;125.11116;126.7557;4.57514;281.44658;137.5957;76.28211;135.19498;181.09801;113.46932;102.79341;126.82124;299.19737;3.2504;304.9982
146;0;539.9982;133.83539;507.9982;0;631.9982;50;0;649.9982;88.81445;147.45211;170.1563;69.77695;206.87358;468.81216;88.28464;114.68389;4.58422;183.9667;147.89683;72.70049;152.55646;132.97372;94.7129;121.52341;109.58454;281.44112;3.83022;199.9982
147;999.9982;0;35.26899;0;299.9982;631.9982;45;0;649.9982;114.3862;123.14249;166.7168;73.07694;231.34261;545.88337;105.09743;143.68648;4.00094;235.42893;124.94858;76.51351;165.8015;118.0942;93.708;104.33286;105.56395;275.48404;3.84096;204.9982
148;999.9982;539.9982;0;507.9982;0;0;-55;0;542.38568;95.98529;141.63909;175.26239;72.41794;198.91312;517.99575;120.76872;124.53319;4.86607;240.67264;143.46827;66.39098;116.43723;166.17497;90.57995;89.01798;116.09167;300.53919;2.93918;304.9982
149;554.23653;539.9982;0;507.9982;0;631.9982;515;0;0;118.69813;143.25449;167.8429;58.46717;193.23154;562.01712;121.80253;138.73327;4.76857;204.00281;141.91817;70.40543;143.89747;130.51556;89.35424;95.93969;103.8641;247.30101;3.43513;44.9982
150;999.9982;0;0;0;299.9982;0;-25;593.84774;649.9982;97.04233;124.15511;134.53376;70.39913;269.54979;574.06345;117.39798;139.28143;3.28276;179.65331;103.2057;66.52656;149.59029;117.68843;82.27448;91.36426;121.41332;294.40496;3.24114;274.9982
151;999.9982;0;649.9982;0;299.9982;0;25;783.10056;0;97.65558;120.54583;151.50562;49.68576;190.15857;505.93418;108.88805;143.55562;4.44122;183.94627;140.73385;72.68122;130.25813;157.16854;93.19623;124.95487;131.55815;269.29626;3.34818;-25.0018
152;0;539.9982;533.85545;0;299.9982;0;-45;829.9982;649.9982;109.61174;169.66056;151.69618;67.40824;280.02173;538.1915;105.74847;138.69124;3.73167;184.79932;138.63698;62.85169;123.39067;138.64981;106.15036;117.90199;104.48834;253.26071;3.00806;44.9982
153;999.9982;0;649.9982;0;0;0;-5;829.9982;435.32219;122.9738;175.27148;146.6803;54.20991;295.25465;619.37601;95.14097;159.64123;5.30401;288.53171;113.84614;72.17723;120.99703;158.6048;93.24039;126.33767;153.36446;299.10031;3.20671;254.9982
154;0;539.9982;649.9982;0;299.9982;0;610;453.12154;649.9982;122.07116;177.3608;178.94285;79.86874;320.80068;633.39021;107.56123;171.66825;4.72726;302.15661;126.35749;97.30311;144.39776;172.79514;122.62101;125.5126;138.1738;306.60547;4.08127;199.9982
155;999.9982;0;649.9982;507.9982;299.9982;0;-20;746.37925;0;106.66196;201.27695;147.21955;86.79227;286.25096;528.62063;127.86423;145.98502;5.02507;312.30045;155.80097;90.56326;197.83555;195.58501;121.54543;158.64951;162.83021;352.00368;3.83737;269.9982
156;999.9982;0;65.38345;507.9982;299.9982;0;505;829.9982;0;127.65483;199.70565;216.21977;86.72709;339.2421;508.52913;152.65997;191.17457;5.75311;233.61217;187.60881;79.01113;146.85168;151.13532;98.15205;166.22474;183.8535;366.48491;3.89482;304.9982
157;999.9982;0;0;507.9982;299.9982;0;590;204.78421;649.9982;102.94904;169.34608;164.91595;80.82105;252.77103;602.53317;112.38935;155.29567;5.15899;340.52983;172.5814;74.33931;195.13502;167.84721;119.91829;149.82254;167.47326;367.36959;3.49538;219.9982
158;999.9982;0;649.9982;0;299.9982;8.45143;-20;829.9982;649.9982;132.80976;162.28047;176.74305;76.62061;320.70273;568.87934;110.76546;181.63999;5.21733;257.03879;149.64733;91.54122;161.60377;184.06894;135.79727;119.77207;126.39998;406.09786;3.40661;19.9982
159;0;0;0;508;0;632;580;739.26353;650;121.13786;186.91113;166.83969;77.68222;226.35507;632.79096;130.93502;176.78995;5.46159;274.41344;158.92886;87.28803;173.78648;156.33266;119.98971;136.23154;127.91565;309.88231;4.11384;266.69326
160;0;539.9982;649.9982;0;299.9982;631.9982;30;829.9982;111.51952;118.80632;148.75018;147.21246;75.68277;318.57714;707.63411;105.2452;167.76498;4.24796;307.13358;168.77337;84.58391;151.10174;138.06365;89.24691;115.35722;123.78489;273.28534;3.29859;219.9982
161;999.9982;0;239.89627;507.9982;0;0;-55;829.9982;649.9982;111.44141;165.25367;163.16185;77.34424;297.2255;689.06768;112.41617;185.95257;5.25851;235.22105;180.49541;81.67927;202.75676;182.36671;135.13159;110.89093;173.24029;296.38899;4.41138;304.9982
162;188.3126;0;649.9982;0;0;631.9982;605;829.9982;549.9982;147.34396;161.90241;192.88641;89.47859;275.16387;675.71118;245.16391;199.98234;5.83044;288.51054;138.3346;109.92667;164.73062;213.90031;126.48987;119.92503;179.38309;446.89575;5.02316;204.9982
163;999.9982;539.9982;649.9982;0;299.9982;0;-30;205.55384;649.9982;139.69832;201.33784;167.90734;82.38389;360.67393;570.79247;148.78394;138.36274;4.59169;271.03155;148.85951;84.86281;188.60433;171.16283;122.75632;120.12294;162.09034;436.50529;4.52648;279.9982
164;999.9982;539.9982;0;507.9982;0;631.9982;-30;0;534.85655;158.96856;160.99458;222.0507;77.71148;305.37425;528.11681;133.13877;137.53017;5.3496;274.24506;156.7854;75.76769;184.52095;172.9538;110.31514;158.93079;163.38953;366.5606;4.21607;279.9982
165;0;539.9982;649.9982;507.9982;0;0;570;829.9982;468.01615;130.04033;174.87042;195.31769;82.94018;335.19202;600.67513;144.22941;184.62294;4.68434;323.75536;145.02241;85.78034;177.98391;159.40295;124.74589;128.07266;173.83266;311.19854;3.92492;-10.0018
166;804.43531;0;649.9982;507.9982;0;0;5;829.9982;649.9982;117.3814;175.911;212.82676;90.31952;289.09796;530.35224;146.70851;163.00003;5.82766;330.25617;144.32161;97.53183;149.1887;149.77102;127.93319;128.95476;148.78814;363.17311;3.59472;-5.0018
167;999.9982;539.9982;649.9982;0;0;631.9982;595;38.7377;0;102.03596;196.23822;167.90644;82.06626;236.13844;738.20616;107.38487;147.26831;4.12075;280.35135;155.78727;87.60487;186.8569;174.56292;119.01626;143.00438;124.23836;297.07187;3.80658;-35.0018
168;999.9982;539.9982;0;0;0;631.9982;595;0;29.63499;125.16241;152.92699;141.98076;61.69274;259.45194;481.0096;133.37965;159.40976;5.40939;249.121;120.93618;70.2167;171.11517;176.89207;112.2999;132.26906;121.63294;274.0055;3.67335;214.9982
169;999.9982;0;649.9982;0;299.9982;631.9982;545;141.97893;0;130.45866;174.38474;168.88026;62.13165;227.56639;626.49252;132.52046;123.56959;4.3878;281.80461;170.80027;69.676;155.98319;191.96911;87.64451;102.07289;137.41129;367.84429;3.99071;14.9982
170;0;540;142.94009;508;0;632;530;0;650;102.92157;181.97154;179.22457;77.68284;213.72304;576.33334;105.33904;140.35939;4.17398;214.78201;141.03172;85.88714;131.69796;181.10528;103.66763;138.42824;123.64345;267.16905;4.32712;39.79316
171;0;539.9982;384.80129;0;0;631.9982;520;0;649.9982;88.45796;125.15986;141.49301;67.1688;268.348;607.32136;91.79466;126.35976;4.83701;211.57895;120.33496;84.6582;177.91426;135.72277;104.71392;115.1503;119.4977;363.21572;3.92288;289.9982
172;333.28647;0;649.9982;0;299.9982;0;-10;829.9982;649.9982;130.88968;183.82614;148.66967;63.69015;213.80566;486.29468;124.21172;154.33589;5.17468;255.59252;157.07734;89.2463;143.04099;131.42565;90.09964;125.0481;120.15307;327.91023;3.71208;259.9982
173;999.9982;0;113.96601;507.9982;0;631.9982;-25;0;649.9982;126.71561;171.18776;198.35378;72.1708;308.86125;538.26653;133.39892;139.35791;4.7935;270.75319;125.10667;74.66469;141.20174;146.25613;88.29639;145.30237;143.52629;259.79747;4.11431;274.9982
174;0;0;474.85674;507.9982;299.9982;631.9982;565;829.9982;0;117.06588;181.76565;146.35072;78.10993;299.93418;593.90713;118.60175;127.07897;4.43929;274.42832;147.12782;99.03626;155.18339;162.5133;93.48169;126.42034;122.88929;387.28157;4.44193;-5.0018
175;414.52426;539.9982;649.9982;0;299.9982;0;585;829.9982;549.9982;160.27637;163.39985;173.09635;77.41384;287.64873;806.20722;265.18157;199.75103;4.55562;351.28781;145.00875;102.11295;171.99775;207.09999;111.41703;141.92516;185.19499;408.34741;5.25997;-25.0018
176;999.9982;539.9982;649.9982;0;0;0;580;829.9982;258.89281;177.74834;235.06391;250.67955;105.5255;315.14847;605.58284;147.69019;151.44852;7.01155;368.25768;200.6397;125.94344;234.35503;175.22563;112.46564;139.29199;168.54592;482.84581;5.2505;229.9982
177;999.9982;539.9982;649.9982;0;0;416.65186;25;829.9982;649.9982;133.41783;187.46883;209.13195;103.24026;293.55817;775.5481;172.04399;187.49982;6.12667;327.25279;218.13954;97.7526;196.34896;202.66514;127.55996;184.36034;209.64131;369.79464;4.97229;-25.0018
